2014-10-14 13:47:06 startup archives install
2014-10-14 13:47:06 install base-passwd:i386 <none> 3.5.26
2014-10-14 13:47:06 status half-installed base-passwd:i386 3.5.26
2014-10-14 13:47:06 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:06 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:06 configure base-passwd:i386 3.5.26 3.5.26
2014-10-14 13:47:06 status unpacked base-passwd:i386 3.5.26
2014-10-14 13:47:06 status half-configured base-passwd:i386 3.5.26
2014-10-14 13:47:06 status installed base-passwd:i386 3.5.26
2014-10-14 13:47:06 startup archives install
2014-10-14 13:47:06 install base-files:i386 <none> 7.1wheezy6
2014-10-14 13:47:06 status half-installed base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 configure base-files:i386 7.1wheezy6 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status unpacked base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status half-configured base-files:i386 7.1wheezy6
2014-10-14 13:47:06 status installed base-files:i386 7.1wheezy6
2014-10-14 13:47:06 startup archives install
2014-10-14 13:47:06 upgrade dpkg 1.16.15 1.16.15
2014-10-14 13:47:06 status half-configured dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status half-installed dpkg 1.16.15
2014-10-14 13:47:06 status half-installed dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 configure dpkg 1.16.15 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status unpacked dpkg 1.16.15
2014-10-14 13:47:06 status half-configured dpkg 1.16.15
2014-10-14 13:47:06 status installed dpkg 1.16.15
2014-10-14 13:47:06 startup archives install
2014-10-14 13:47:06 install libc6:i386 <none> 2.13-38+deb7u2
2014-10-14 13:47:06 status half-installed libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:06 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:06 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:06 configure libc6:i386 2.13-38+deb7u2 2.13-38+deb7u2
2014-10-14 13:47:06 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:06 status unpacked libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:06 status half-configured libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:08 status installed libc6:i386 2.13-38+deb7u2
2014-10-14 13:47:08 startup archives install
2014-10-14 13:47:08 install perl-base:i386 <none> 5.14.2-21+deb7u1
2014-10-14 13:47:08 status half-installed perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 configure perl-base:i386 5.14.2-21+deb7u1 5.14.2-21+deb7u1
2014-10-14 13:47:09 status unpacked perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 status half-configured perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 status installed perl-base:i386 5.14.2-21+deb7u1
2014-10-14 13:47:09 startup archives install
2014-10-14 13:47:09 install mawk:i386 <none> 1.3.3-17
2014-10-14 13:47:09 status half-installed mawk:i386 1.3.3-17
2014-10-14 13:47:09 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:09 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:09 configure mawk:i386 1.3.3-17 1.3.3-17
2014-10-14 13:47:09 status unpacked mawk:i386 1.3.3-17
2014-10-14 13:47:09 status half-configured mawk:i386 1.3.3-17
2014-10-14 13:47:09 status installed mawk:i386 1.3.3-17
2014-10-14 13:47:09 startup archives install
2014-10-14 13:47:09 install debconf:all <none> 1.5.49
2014-10-14 13:47:09 status half-installed debconf:all 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 configure debconf:all 1.5.49 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 status unpacked debconf:all 1.5.49
2014-10-14 13:47:09 status half-configured debconf:all 1.5.49
2014-10-14 13:47:09 status installed debconf:all 1.5.49
2014-10-14 13:47:09 startup archives unpack
2014-10-14 13:47:09 install libacl1:i386 <none> 2.2.51-8
2014-10-14 13:47:09 status half-installed libacl1:i386 2.2.51-8
2014-10-14 13:47:09 status unpacked libacl1:i386 2.2.51-8
2014-10-14 13:47:09 status unpacked libacl1:i386 2.2.51-8
2014-10-14 13:47:09 install libattr1:i386 <none> 1:2.4.46-8
2014-10-14 13:47:09 status half-installed libattr1:i386 1:2.4.46-8
2014-10-14 13:47:09 status unpacked libattr1:i386 1:2.4.46-8
2014-10-14 13:47:09 status unpacked libattr1:i386 1:2.4.46-8
2014-10-14 13:47:09 upgrade base-files:i386 7.1wheezy6 7.1wheezy6
2014-10-14 13:47:09 status half-configured base-files:i386 7.1wheezy6
2014-10-14 13:47:09 status unpacked base-files:i386 7.1wheezy6
